date,var,type,number
2016/11/8,车型,车型02,18314
2016/11/9,车型,车型02,20539
2016/11/10,车型,车型02,20760
2016/11/11,车型,车型02,22412
2016/11/12,车型,车型02,16309
2016/11/13,车型,车型02,14327
2016/11/14,车型,车型02,19811
2016/11/15,车型,车型02,22978
2016/11/16,车型,车型02,23480
2016/11/17,车型,车型02,23109
2016/11/18,车型,车型02,23747
2016/11/19,车型,车型02,17079
2016/11/20,车型,车型02,15455
2016/11/21,车型,车型02,22356
2016/11/22,车型,车型02,23704
2016/11/23,车型,车型02,23336
2016/11/24,车型,车型02,22829
2016/11/25,车型,车型02,23509
2016/11/26,车型,车型02,16870
2016/11/27,车型,车型02,15452
2016/11/28,车型,车型02,21029
2016/11/29,车型,车型02,21994
2016/11/30,车型,车型02,30997
2016/10/2,车型,车型03,2161
2016/10/3,车型,车型03,2037
2016/10/4,车型,车型03,1848
2016/10/5,车型,车型03,2018
2016/10/6,车型,车型03,2099
2016/10/7,车型,车型03,1778
2016/10/8,车型,车型03,1528
2016/10/9,车型,车型03,1496
2016/10/10,车型,车型03,1879
2016/10/11,车型,车型03,1701
2016/10/12,车型,车型03,1883
2016/10/13,车型,车型03,2055
2016/10/14,车型,车型03,1993
2016/10/15,车型,车型03,1850
2016/10/16,车型,车型03,1767
2016/10/17,车型,车型03,2166
2016/10/18,车型,车型03,2071
2016/10/19,车型,车型03,2089
2016/10/20,车型,车型03,2411
2016/10/21,车型,车型03,2387
2016/10/22,车型,车型03,1717
2016/10/23,车型,车型03,1703
2016/10/24,车型,车型03,1808
2016/10/25,车型,车型03,1896
2016/10/26,车型,车型03,2007
2016/10/27,车型,车型03,2532
2016/10/28,车型,车型03,2543
2016/10/29,车型,车型03,1711
2016/10/30,车型,车型03,1402
2016/10/31,车型,车型03,2253
2016/11/1,车型,车型03,1896
2016/11/2,车型,车型03,1876
2016/11/3,车型,车型03,1939
2016/11/4,车型,车型03,1766
2016/11/5,车型,车型03,1590
2016/11/6,车型,车型03,1576
2016/11/7,车型,车型03,1512
2016/11/8,车型,车型03,1527
2016/11/9,车型,车型03,1606
2016/11/10,车型,车型03,1624
2016/11/11,车型,车型03,1745
2016/11/12,车型,车型03,1646
2016/11/13,车型,车型03,1438
2016/11/14,车型,车型03,1772
2016/11/15,车型,车型03,2101
2016/11/16,车型,车型03,2116
2016/11/17,车型,车型03,2070
2016/11/18,车型,车型03,2299
2016/11/19,车型,车型03,1833
2016/11/20,车型,车型03,1571
2016/11/21,车型,车型03,2262
2016/11/22,车型,车型03,2099
2016/11/23,车型,车型03,2150
2016/11/24,车型,车型03,2108
2016/11/25,车型,车型03,1976
2016/11/26,车型,车型03,1514
2016/11/27,车型,车型03,1525
2016/11/28,车型,车型03,1700
2016/11/29,车型,车型03,1760
2016/11/30,车型,车型03,2404
2016/10/2,车型,车型04,1345
2016/10/3,车型,车型04,1239
2016/10/4,车型,车型04,1137
2016/10/5,车型,车型04,1126
2016/10/6,车型,车型04,1426
2016/10/7,车型,车型04,1386
2016/10/8,车型,车型04,1582
2016/10/9,车型,车型04,1711
2016/10/10,车型,车型04,2247
2016/10/11,车型,车型04,2281
2016/10/12,车型,车型04,2367
2016/10/13,车型,车型04,2685
2016/10/14,车型,车型04,2776
2016/10/15,车型,车型04,2213
2016/10/16,车型,车型04,1914
2016/10/17,车型,车型04,2644
2016/10/18,车型,车型04,2829
2016/10/19,车型,车型04,2947
2016/10/20,车型,车型04,3735
2016/10/21,车型,车型04,4001
2016/10/22,车型,车型04,2211
2016/10/23,车型,车型04,2049
2016/10/24,车型,车型04,2678
2016/10/25,车型,车型04,2665
2016/10/26,车型,车型04,2950
2016/10/27,车型,车型04,4257
2016/10/28,车型,车型04,3958
2016/10/29,车型,车型04,2121
2016/10/30,车型,车型04,1783
2016/10/31,车型,车型04,3260
2016/11/1,车型,车型04,2758
2016/11/2,车型,车型04,2634
2016/11/3,车型,车型04,2898
2016/11/4,车型,车型04,2593
2016/11/5,车型,车型04,1951
2016/11/6,车型,车型04,1933
2016/11/7,车型,车型04,2208
2016/11/8,车型,车型04,2240
2016/11/9,车型,车型04,2495
2016/11/10,车型,车型04,2515
2016/11/11,车型,车型04,2723
2016/11/12,车型,车型04,2033
2016/11/13,车型,车型04,1805
2016/11/14,车型,车型04,2351
2016/11/15,车型,车型04,3063
2016/11/16,车型,车型04,3032
2016/11/17,车型,车型04,3034
2016/11/18,车型,车型04,3656
2016/11/19,车型,车型04,2304
2016/11/20,车型,车型04,2230
2016/11/21,车型,车型04,3675
2016/11/22,车型,车型04,3610
2016/11/23,车型,车型04,3387
2016/11/24,车型,车型04,3406
2016/11/25,车型,车型04,3180
2016/11/26,车型,车型04,1979
2016/11/27,车型,车型04,1884
2016/11/28,车型,车型04,2754
2016/11/29,车型,车型04,2670
2016/11/30,车型,车型04,3869
2016/10/2,车型,车型05,0
2016/10/3,车型,车型05,0
2016/10/4,车型,车型05,0
2016/10/5,车型,车型05,0
2016/10/6,车型,车型05,0
2016/10/7,车型,车型05,0
2016/10/8,车型,车型05,0
2016/10/9,车型,车型05,0
2016/10/10,车型,车型05,0
2016/10/11,车型,车型05,0
2016/10/12,车型,车型05,0
2016/10/13,车型,车型05,0
2016/10/14,车型,车型05,0
2016/10/15,车型,车型05,0
2016/10/16,车型,车型05,0
2016/10/17,车型,车型05,0
2016/10/18,车型,车型05,0
2016/10/19,车型,车型05,0
2016/10/20,车型,车型05,0
2016/10/21,车型,车型05,0
2016/10/22,车型,车型05,0
2016/10/23,车型,车型05,0
2016/10/24,车型,车型05,0
2016/10/25,车型,车型05,0
2016/10/26,车型,车型05,0
2016/10/27,车型,车型05,0
2016/10/28,车型,车型05,0
2016/10/29,车型,车型05,0
2016/10/30,车型,车型05,0
2016/10/31,车型,车型05,0
2016/11/1,车型,车型05,0
2016/11/2,车型,车型05,0
2016/11/3,车型,车型05,0
2016/11/4,车型,车型05,0
2016/11/5,车型,车型05,0
2016/11/6,车型,车型05,0
2016/11/7,车型,车型05,0
2016/11/8,车型,车型05,0
2016/11/9,车型,车型05,0
2016/11/10,车型,车型05,0
2016/11/11,车型,车型05,0
2016/11/12,车型,车型05,0
2016/11/13,车型,车型05,0
2016/11/14,车型,车型05,0
2016/11/15,车型,车型05,0
2016/11/16,车型,车型05,0
2016/11/17,车型,车型05,0
2016/11/18,车型,车型05,0
2016/11/19,车型,车型05,0
2016/11/20,车型,车型05,0
2016/11/21,车型,车型05,0
2016/11/22,车型,车型05,0
2016/11/23,车型,车型05,0
2016/11/24,车型,车型05,0
2016/11/25,车型,车型05,0
2016/11/26,车型,车型05,0
2016/11/27,车型,车型05,0
2016/11/28,车型,车型05,0
2016/11/29,车型,车型05,0
2016/11/30,车型,车型05,0
2016/10/2,车型,车型06,0
2016/10/3,车型,车型06,0
2016/10/4,车型,车型06,0
2016/10/5,车型,车型06,0
2016/10/6,车型,车型06,0
2016/10/7,车型,车型06,0
2016/10/8,车型,车型06,0
2016/10/9,车型,车型06,0
2016/10/10,车型,车型06,0
2016/10/11,车型,车型06,0
2016/10/12,车型,车型06,0
2016/10/13,车型,车型06,0
2016/10/14,车型,车型06,0
2016/10/15,车型,车型06,0
2016/10/16,车型,车型06,0
2016/10/17,车型,车型06,0
2016/10/18,车型,车型06,0
2016/10/19,车型,车型06,0
2016/10/20,车型,车型06,0
2016/10/21,车型,车型06,0
2016/10/22,车型,车型06,0
2016/10/23,车型,车型06,0
2016/10/24,车型,车型06,0
2016/10/25,车型,车型06,0
2016/10/26,车型,车型06,0
2016/10/27,车型,车型06,0
2016/10/28,车型,车型06,0
2016/10/29,车型,车型06,0
2016/10/30,车型,车型06,0
2016/10/31,车型,车型06,0
2016/11/1,车型,车型06,0
2016/11/2,车型,车型06,0
2016/11/3,车型,车型06,0
2016/11/4,车型,车型06,0
2016/11/5,车型,车型06,0
2016/11/6,车型,车型06,0
2016/11/7,车型,车型06,0
2016/11/8,车型,车型06,0
2016/11/9,车型,车型06,0
2016/11/10,车型,车型06,12
2016/11/11,车型,车型06,43
2016/11/12,车型,车型06,29
2016/11/13,车型,车型06,38
2016/11/14,车型,车型06,10
2016/11/15,车型,车型06,3
2016/11/16,车型,车型06,1
2016/11/17,车型,车型06,0
2016/11/18,车型,车型06,0
2016/11/19,车型,车型06,0
2016/11/20,车型,车型06,0
2016/11/21,车型,车型06,0
2016/11/22,车型,车型06,0
2016/11/23,车型,车型06,0
2016/11/24,车型,车型06,0
2016/11/25,车型,车型06,0
2016/11/26,车型,车型06,0
2016/11/27,车型,车型06,0
2016/11/28,车型,车型06,0
2016/11/29,车型,车型06,0
2016/11/30,车型,车型06,0
